Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request - Jedan post,20,59,56,69,74,87,49,87,0.000%,19.94018,29.50,2.59
TOTAL,20,59,56,69,74,87,49,87,0.000%,19.94018,29.50,2.59
